E_Vm,DeltaMu_D,Theta_deg,Mu_eff_D,F_eps,FoldAccel,k_eff_Minv_sinv
10000000.0,10.0,20.0,1.0,1.0,1.0075769731780608,10.075769731780609
10000000.0,10.0,20.0,1.0,2.0,1.015190821723261,10.15190821723261
10000000.0,10.0,20.0,1.0,3.0,1.0228415158609718,10.228415158609717
10000000.0,10.0,20.0,1.0,5.0,1.0382533120916377,10.382533120916378
10000000.0,10.0,20.0,2.0,1.0,1.015190821723261,10.15190821723261
10000000.0,10.0,20.0,2.0,2.0,1.0305290238711247,10.305290238711247
10000000.0,10.0,20.0,2.0,3.0,1.0460143449223303,10.460143449223303
10000000.0,10.0,20.0,2.0,5.0,1.0774251427106556,10.774251427106556
10000000.0,10.0,20.0,3.0,1.0,1.0228415158609718,10.228415158609717
10000000.0,10.0,20.0,3.0,2.0,1.0460143449223303,10.460143449223303
10000000.0,10.0,20.0,3.0,3.0,1.0695175260744845,10.695175260744845
10000000.0,10.0,20.0,3.0,5.0,1.1175103196882414,11.175103196882414
10000000.0,10.0,30.0,1.0,1.0,1.007287812276453,10.07287812276453
10000000.0,10.0,30.0,1.0,2.0,1.0146082868910096,10.146082868910096
10000000.0,10.0,30.0,1.0,3.0,1.0219613658108064,10.219613658108065
10000000.0,10.0,30.0,1.0,5.0,1.0367650950526401,10.367650950526402
10000000.0,10.0,30.0,2.0,1.0,1.0146082868910096,10.146082868910096
10000000.0,10.0,30.0,2.0,2.0,1.0293469891251537,10.293469891251537
10000000.0,10.0,30.0,2.0,3.0,1.044215619946564,10.44215619946564
10000000.0,10.0,30.0,2.0,5.0,1.0743405713452556,10.743405713452557
10000000.0,10.0,30.0,3.0,1.0,1.0219613658108064,10.219613658108065
10000000.0,10.0,30.0,3.0,2.0,1.044215619946564,10.44215619946564
10000000.0,10.0,30.0,3.0,3.0,1.0667610441212638,10.667610441212638
10000000.0,10.0,30.0,3.0,5.0,1.1127177814518139,11.127177814518138
10000000.0,10.0,45.0,1.0,1.0,1.0066643965893431,10.066643965893432
10000000.0,10.0,45.0,1.0,2.0,1.0133531307454375,10.133531307454376
10000000.0,10.0,45.0,1.0,3.0,1.020066099020009,10.20066099020009
10000000.0,10.0,45.0,1.0,5.0,1.0335643160825978,10.335643160825978
10000000.0,10.0,45.0,2.0,1.0,1.0133531307454375,10.133531307454376
10000000.0,10.0,45.0,2.0,2.0,1.026803196352726,10.26803196352726
10000000.0,10.0,45.0,2.0,3.0,1.0403493499590213,10.403493499590212
10000000.0,10.0,45.0,2.0,5.0,1.0677264069331953,10.677264069331953
10000000.0,10.0,45.0,3.0,1.0,1.020066099020009,10.20066099020009
10000000.0,10.0,45.0,3.0,2.0,1.0403493499590213,10.403493499590212
10000000.0,10.0,45.0,3.0,3.0,1.0608468303605199,10.608468303605198
10000000.0,10.0,45.0,3.0,5.0,1.1024721585202153,11.024721585202153
10000000.0,15.0,20.0,1.0,1.0,1.0075769731780608,10.075769731780609
10000000.0,15.0,20.0,1.0,2.0,1.015190821723261,10.15190821723261
10000000.0,15.0,20.0,1.0,3.0,1.0228415158609718,10.228415158609717
10000000.0,15.0,20.0,1.0,5.0,1.0382533120916377,10.382533120916378
10000000.0,15.0,20.0,2.0,1.0,1.015190821723261,10.15190821723261
10000000.0,15.0,20.0,2.0,2.0,1.0305290238711247,10.305290238711247
10000000.0,15.0,20.0,2.0,3.0,1.0460143449223303,10.460143449223303
10000000.0,15.0,20.0,2.0,5.0,1.0774251427106556,10.774251427106556
10000000.0,15.0,20.0,3.0,1.0,1.0228415158609718,10.228415158609717
10000000.0,15.0,20.0,3.0,2.0,1.0460143449223303,10.460143449223303
10000000.0,15.0,20.0,3.0,3.0,1.0695175260744845,10.695175260744845
10000000.0,15.0,20.0,3.0,5.0,1.1175103196882414,11.175103196882414
10000000.0,15.0,30.0,1.0,1.0,1.007287812276453,10.07287812276453
10000000.0,15.0,30.0,1.0,2.0,1.0146082868910096,10.146082868910096
10000000.0,15.0,30.0,1.0,3.0,1.0219613658108064,10.219613658108065
10000000.0,15.0,30.0,1.0,5.0,1.0367650950526401,10.367650950526402
10000000.0,15.0,30.0,2.0,1.0,1.0146082868910096,10.146082868910096
10000000.0,15.0,30.0,2.0,2.0,1.0293469891251537,10.293469891251537
10000000.0,15.0,30.0,2.0,3.0,1.044215619946564,10.44215619946564
10000000.0,15.0,30.0,2.0,5.0,1.0743405713452556,10.743405713452557
10000000.0,15.0,30.0,3.0,1.0,1.0219613658108064,10.219613658108065
10000000.0,15.0,30.0,3.0,2.0,1.044215619946564,10.44215619946564
10000000.0,15.0,30.0,3.0,3.0,1.0667610441212638,10.667610441212638
10000000.0,15.0,30.0,3.0,5.0,1.1127177814518139,11.127177814518138
10000000.0,15.0,45.0,1.0,1.0,1.0066643965893431,10.066643965893432
10000000.0,15.0,45.0,1.0,2.0,1.0133531307454375,10.133531307454376
10000000.0,15.0,45.0,1.0,3.0,1.020066099020009,10.20066099020009
10000000.0,15.0,45.0,1.0,5.0,1.0335643160825978,10.335643160825978
10000000.0,15.0,45.0,2.0,1.0,1.0133531307454375,10.133531307454376
10000000.0,15.0,45.0,2.0,2.0,1.026803196352726,10.26803196352726
10000000.0,15.0,45.0,2.0,3.0,1.0403493499590213,10.403493499590212
10000000.0,15.0,45.0,2.0,5.0,1.0677264069331953,10.677264069331953
10000000.0,15.0,45.0,3.0,1.0,1.020066099020009,10.20066099020009
10000000.0,15.0,45.0,3.0,2.0,1.0403493499590213,10.403493499590212
10000000.0,15.0,45.0,3.0,3.0,1.0608468303605199,10.608468303605198
10000000.0,15.0,45.0,3.0,5.0,1.1024721585202153,11.024721585202153
10000000.0,20.0,20.0,1.0,1.0,1.0075769731780608,10.075769731780609
10000000.0,20.0,20.0,1.0,2.0,1.015190821723261,10.15190821723261
10000000.0,20.0,20.0,1.0,3.0,1.0228415158609718,10.228415158609717
10000000.0,20.0,20.0,1.0,5.0,1.0382533120916377,10.382533120916378
10000000.0,20.0,20.0,2.0,1.0,1.015190821723261,10.15190821723261
10000000.0,20.0,20.0,2.0,2.0,1.0305290238711247,10.305290238711247
10000000.0,20.0,20.0,2.0,3.0,1.0460143449223303,10.460143449223303
10000000.0,20.0,20.0,2.0,5.0,1.0774251427106556,10.774251427106556
10000000.0,20.0,20.0,3.0,1.0,1.0228415158609718,10.228415158609717
10000000.0,20.0,20.0,3.0,2.0,1.0460143449223303,10.460143449223303
10000000.0,20.0,20.0,3.0,3.0,1.0695175260744845,10.695175260744845
10000000.0,20.0,20.0,3.0,5.0,1.1175103196882414,11.175103196882414
10000000.0,20.0,30.0,1.0,1.0,1.007287812276453,10.07287812276453
10000000.0,20.0,30.0,1.0,2.0,1.0146082868910096,10.146082868910096
10000000.0,20.0,30.0,1.0,3.0,1.0219613658108064,10.219613658108065
10000000.0,20.0,30.0,1.0,5.0,1.0367650950526401,10.367650950526402
10000000.0,20.0,30.0,2.0,1.0,1.0146082868910096,10.146082868910096
10000000.0,20.0,30.0,2.0,2.0,1.0293469891251537,10.293469891251537
10000000.0,20.0,30.0,2.0,3.0,1.044215619946564,10.44215619946564
10000000.0,20.0,30.0,2.0,5.0,1.0743405713452556,10.743405713452557
10000000.0,20.0,30.0,3.0,1.0,1.0219613658108064,10.219613658108065
10000000.0,20.0,30.0,3.0,2.0,1.044215619946564,10.44215619946564
10000000.0,20.0,30.0,3.0,3.0,1.0667610441212638,10.667610441212638
10000000.0,20.0,30.0,3.0,5.0,1.1127177814518139,11.127177814518138
10000000.0,20.0,45.0,1.0,1.0,1.0066643965893431,10.066643965893432
10000000.0,20.0,45.0,1.0,2.0,1.0133531307454375,10.133531307454376
10000000.0,20.0,45.0,1.0,3.0,1.020066099020009,10.20066099020009
10000000.0,20.0,45.0,1.0,5.0,1.0335643160825978,10.335643160825978
10000000.0,20.0,45.0,2.0,1.0,1.0133531307454375,10.133531307454376
10000000.0,20.0,45.0,2.0,2.0,1.026803196352726,10.26803196352726
10000000.0,20.0,45.0,2.0,3.0,1.0403493499590213,10.403493499590212
10000000.0,20.0,45.0,2.0,5.0,1.0677264069331953,10.677264069331953
10000000.0,20.0,45.0,3.0,1.0,1.020066099020009,10.20066099020009
10000000.0,20.0,45.0,3.0,2.0,1.0403493499590213,10.403493499590212
10000000.0,20.0,45.0,3.0,3.0,1.0608468303605199,10.608468303605198
10000000.0,20.0,45.0,3.0,5.0,1.1024721585202153,11.024721585202153
10172383.385460906,10.0,20.0,1.0,1.0,1.0077079110036202,10.077079110036202
10172383.385460906,10.0,20.0,1.0,2.0,1.0154539791524635,10.154539791524634
10172383.385460906,10.0,20.0,1.0,3.0,1.0232381730523774,10.232381730523773
10172383.385460906,10.0,20.0,1.0,5.0,1.038920802118591,10.38920802118591
10172383.385460906,10.0,20.0,2.0,1.0,1.0154539791524635,10.154539791524634
10172383.385460906,10.0,20.0,2.0,2.0,1.0310604592265504,10.310604592265504
10172383.385460906,10.0,20.0,2.0,3.0,1.046819164097118,10.468191640971181
10172383.385460906,10.0,20.0,2.0,5.0,1.078791977848542,10.78791977848542
10172383.385460906,10.0,20.0,3.0,1.0,1.0232381730523774,10.232381730523773
10172383.385460906,10.0,20.0,3.0,2.0,1.046819164097118,10.468191640971181
10172383.385460906,10.0,20.0,3.0,3.0,1.070741957194347,10.70741957194347
10172383.385460906,10.0,20.0,3.0,5.0,1.119608050272063,11.19608050272063
10172383.385460906,10.0,30.0,1.0,1.0,1.0074137285910139,10.074137285910139
10172383.385460906,10.0,30.0,1.0,2.0,1.0148612542905127,10.148612542905127
10172383.385460906,10.0,30.0,1.0,3.0,1.0223425159613146,10.223425159613146
10172383.385460906,10.0,30.0,1.0,5.0,1.037405992623913,10.37405992623913
10172383.385460906,10.0,30.0,2.0,1.0,1.0148612542905127,10.148612542905127
10172383.385460906,10.0,30.0,2.0,2.0,1.0298574504559739,10.298574504559738
10172383.385460906,10.0,30.0,2.0,3.0,1.0449880753178609,10.449880753178608
10172383.385460906,10.0,30.0,2.0,5.0,1.075650398934039,10.75650398934039
10172383.385460906,10.0,30.0,3.0,1.0,1.0223425159613146,10.223425159613146
10172383.385460906,10.0,30.0,3.0,2.0,1.0449880753178609,10.449880753178608
10172383.385460906,10.0,30.0,3.0,3.0,1.0679348652851384,10.679348652851385
10172383.385460906,10.0,30.0,3.0,5.0,1.1147240853639957,11.147240853639957
10172383.385460906,10.0,45.0,1.0,1.0,1.0067794933944136,10.067794933944135
10172383.385460906,10.0,45.0,1.0,2.0,1.0135841688303493,10.135841688303493
10172383.385460906,10.0,45.0,1.0,3.0,1.0204139173726596,10.204139173726595
10172383.385460906,10.0,45.0,1.0,5.0,1.034148189421726,10.34148189421726
10172383.385460906,10.0,45.0,2.0,1.0,1.0135841688303493,10.135841688303493
10172383.385460906,10.0,45.0,2.0,2.0,1.0272686283610921,10.272686283610922
10172383.385460906,10.0,45.0,2.0,3.0,1.0410524864794202,10.410524864794201
10172383.385460906,10.0,45.0,2.0,5.0,1.0689146943469547,10.689146943469547
10172383.385460906,10.0,45.0,3.0,1.0,1.0204139173726596,10.204139173726595
10172383.385460906,10.0,45.0,3.0,2.0,1.0410524864794202,10.410524864794201
10172383.385460906,10.0,45.0,3.0,3.0,1.0619126276309347,10.619126276309348
10172383.385460906,10.0,45.0,3.0,5.0,1.1042846320513313,11.042846320513313
10172383.385460906,15.0,20.0,1.0,1.0,1.0077079110036202,10.077079110036202
10172383.385460906,15.0,20.0,1.0,2.0,1.0154539791524635,10.154539791524634
10172383.385460906,15.0,20.0,1.0,3.0,1.0232381730523774,10.232381730523773
10172383.385460906,15.0,20.0,1.0,5.0,1.038920802118591,10.38920802118591
10172383.385460906,15.0,20.0,2.0,1.0,1.0154539791524635,10.154539791524634
10172383.385460906,15.0,20.0,2.0,2.0,1.0310604592265504,10.310604592265504
10172383.385460906,15.0,20.0,2.0,3.0,1.046819164097118,10.468191640971181
10172383.385460906,15.0,20.0,2.0,5.0,1.078791977848542,10.78791977848542
10172383.385460906,15.0,20.0,3.0,1.0,1.0232381730523774,10.232381730523773
10172383.385460906,15.0,20.0,3.0,2.0,1.046819164097118,10.468191640971181
10172383.385460906,15.0,20.0,3.0,3.0,1.070741957194347,10.70741957194347
10172383.385460906,15.0,20.0,3.0,5.0,1.119608050272063,11.19608050272063
10172383.385460906,15.0,30.0,1.0,1.0,1.0074137285910139,10.074137285910139
10172383.385460906,15.0,30.0,1.0,2.0,1.0148612542905127,10.148612542905127
10172383.385460906,15.0,30.0,1.0,3.0,1.0223425159613146,10.223425159613146
10172383.385460906,15.0,30.0,1.0,5.0,1.037405992623913,10.37405992623913
10172383.385460906,15.0,30.0,2.0,1.0,1.0148612542905127,10.148612542905127
10172383.385460906,15.0,30.0,2.0,2.0,1.0298574504559739,10.298574504559738
10172383.385460906,15.0,30.0,2.0,3.0,1.0449880753178609,10.449880753178608
10172383.385460906,15.0,30.0,2.0,5.0,1.075650398934039,10.75650398934039
